book_id,original_publication_year,title,author
1,2008.0,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins
2,1997.0,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling
3,2005.0,"Twilight (Twilight, #1)",Stephenie Meyer
4,1960.0,To Kill a Mockingbird,Harper Lee
5,1925.0,The Great Gatsby,F. Scott Fitzgerald
6,2012.0,The Fault in Our Stars,John Green
7,1937.0,The Hobbit,J.R.R. Tolkien
8,1951.0,The Catcher in the Rye,J.D. Salinger
9,2000.0,"Angels & Demons  (Robert Langdon, #1)",Dan Brown
10,1813.0,Pride and Prejudice,Jane Austen
11,2003.0,The Kite Runner,Khaled Hosseini
12,2011.0,"Divergent (Divergent, #1)",Veronica Roth
13,1949.0,1984,George Orwell
14,1945.0,Animal Farm,George Orwell
15,1947.0,The Diary of a Young Girl,Anne Frank
16,2005.0,"The Girl with the Dragon Tattoo (Millennium, #1)",Stieg Larsson
17,2009.0,"Catching Fire (The Hunger Games, #2)",Suzanne Collins
18,1999.0,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling
19,1954.0,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien
20,2010.0,"Mockingjay (The Hunger Games, #3)",Suzanne Collins
21,2003.0,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling
22,2002.0,The Lovely Bones,Alice Sebold
23,1998.0,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling
24,2000.0,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling
25,2007.0,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling
26,2003.0,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown
27,2005.0,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling
28,1954.0,Lord of the Flies,William Golding
29,1595.0,Romeo and Juliet,William Shakespeare
30,2012.0,Gone Girl,Gillian Flynn
31,2009.0,The Help,Kathryn Stockett
32,1937.0,Of Mice and Men,John Steinbeck
33,1997.0,Memoirs of a Geisha,Arthur Golden
34,2011.0,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James
35,1988.0,The Alchemist,Paulo Coelho
36,1993.0,"The Giver (The Giver, #1)",Lois Lowry
37,1950.0,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis
38,2003.0,The Time Traveler's Wife,Audrey Niffenegger
39,1996.0,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin
40,2006.0,"Eat, Pray, Love",Elizabeth Gilbert
41,2005.0,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan
42,1868.0,"Little Women (Little Women, #1)",Louisa May Alcott
43,1847.0,Jane Eyre,Charlotte Brontë
44,1996.0,"The Notebook (The Notebook, #1)",Nicholas Sparks
45,2001.0,Life of Pi,Yann Martel
46,2006.0,Water for Elephants,Sara Gruen
47,2005.0,The Book Thief,Markus Zusak
48,1953.0,Fahrenheit 451,Ray Bradbury
49,2006.0,"New Moon (Twilight, #2)",Stephenie Meyer
50,1974.0,Where the Sidewalk Ends,Shel Silverstein
51,2007.0,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare
52,2007.0,"Eclipse (Twilight, #3)",Stephenie Meyer
53,2002.0,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini
54,1979.0,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams
55,1932.0,Brave New World,Aldous Huxley
56,2008.0,"Breaking Dawn (Twilight, #4)",Stephenie Meyer
57,2001.0,The Secret Life of Bees,Sue Monk Kidd
58,1884.0,The Adventures of Huckleberry Finn,Mark Twain
59,1952.0,Charlotte's Web,E.B. White
60,2003.0,The Curious Incident of the Dog in the Night-Time,Mark Haddon
61,2015.0,The Girl on the Train,Paula Hawkins
62,1995.0,"The Golden Compass (His Dark Materials, #1)",Philip Pullman
63,1847.0,Wuthering Heights,Emily Brontë
64,2004.0,My Sister's Keeper,Jodi Picoult
65,1969.0,Slaughterhouse-Five,Kurt Vonnegut Jr.
66,1936.0,Gone with the Wind,Margaret Mitchell
67,2007.0,A Thousand Splendid Suns,Khaled Hosseini
68,1999.0,The Perks of Being a Wallflower,Stephen Chbosky
69,2012.0,"Insurgent (Divergent, #2)",Veronica Roth
70,1985.0,"Ender's Game (Ender's Saga, #1)",Orson Scott Card
71,1818.0,Frankenstein,Mary Wollstonecraft Shelley
72,1977.0,The Shining (The Shining #1),Stephen King
73,2008.0,"The Host (The Host, #1)",Stephenie Meyer
74,2005.0,Looking for Alaska,John Green
75,1996.0,"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding
76,1811.0,Sense and Sensibility,Jane Austen
77,1998.0,"Holes (Holes, #1)",Louis Sachar
78,2003.0,"The Devil Wears Prada (The Devil Wears Prada, #1)",Lauren Weisberger
79,-720.0,The Odyssey,Homer
80,1946.0,The Little Prince,Antoine de Saint-Exupéry
81,2005.0,The Glass Castle,Jeannette Walls
82,1996.0,Into the Wild,Jon Krakauer
83,1859.0,A Tale of Two Cities,Charles Dickens
84,1990.0,"Jurassic Park (Jurassic Park, #1)",Michael Crichton
85,1964.0,The Giving Tree,Shel Silverstein
86,1989.0,A Time to Kill,John Grisham
87,1958.0,Night (The Night Trilogy #1),Elie Wiesel
88,2008.0,Paper Towns,John Green
89,1973.0,The Princess Bride ,William Goldman
90,1967.0,The Outsiders,S.E. Hinton
91,2009.0,"The Maze Runner (Maze Runner, #1)",James Dashner
92,2005.0,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",Steven D. Levitt
93,1911.0,The Secret Garden,Frances Hodgson Burnett
94,1967.0,One Hundred Years of Solitude,Gabriel García Márquez
95,1891.0,The Picture of Dorian Gray,Oscar Wilde
96,2012.0,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James
97,1897.0,Dracula,Bram Stoker
98,2006.0,"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson
99,2011.0,"Fifty Shades Darker (Fifty Shades, #2)",E.L. James
100,1998.0,The Poisonwood Bible,Barbara Kingsolver
101,2000.0,Me Talk Pretty One Day,David Sedaris
102,1963.0,Where the Wild Things Are,Maurice Sendak
103,1844.0,The Count of Monte Cristo,Alexandre Dumas
104,2006.0,The Road,Cormac McCarthy
105,2013.0,"Allegiant (Divergent, #3)",Veronica Roth
106,2011.0,Bossypants,Tina Fey
107,1999.0,A Walk to Remember,Nicholas Sparks
108,2000.0,"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella
109,1862.0,Les Misérables,Victor Hugo
110,1998.0,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin
111,2005.0,The Memory Keeper's Daughter,Kim Edwards
112,2012.0,"Me Before You (Me Before You, #1)",Jojo Moyes
113,1961.0,Catch-22,Joseph Heller
114,1997.0,Tuesdays with Morrie,Mitch Albom
115,2002.0,Middlesex,Jeffrey Eugenides
116,1876.0,The Adventures of Tom Sawyer,Mark Twain
117,1962.0,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle
118,1989.0,The Joy Luck Club,Amy Tan
119,1985.0,The Handmaid's Tale,Margaret Atwood
120,2001.0,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares
121,1955.0,Lolita,Vladimir Nabokov
122,1995.0,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire
123,1991.0,"The Firm (Penguin Readers, Level 5)",John Grisham
124,2010.0,Room,Emma Donoghue
125,1600.0,Hamlet,William Shakespeare
126,1965.0,Dune (Dune Chronicles #1),Frank Herbert
127,2000.0,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell
128,2011.0,Steve Jobs,Walter Isaacson
129,1962.0,One Flew Over the Cuckoo's Nest,Ken Kesey
130,1952.0,The Old Man and the Sea,Ernest Hemingway
131,1939.0,The Grapes of Wrath,John Steinbeck
132,2003.0,The Five People You Meet in Heaven,Mitch Albom
133,1908.0,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery
134,2009.0,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare
135,2000.0,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin
136,1996.0,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells
137,1991.0,"Outlander (Outlander, #1)",Diana Gabaldon
138,1850.0,The Scarlet Letter,Nathaniel Hawthorne
139,2011.0,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",Ransom Riggs
140,2007.0,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",Stieg Larsson
141,2012.0,The Martian,Andy Weir
142,1989.0,"The Pillars of the Earth (The Kingsbridge Series, #1)",Ken Follett
143,2014.0,All the Light We Cannot See,Anthony Doerr
144,2010.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand
145,2001.0,Deception Point,Dan Brown
146,2013.0,The Goldfinch,Donna Tartt
